	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	user_type	reporting_level
80	146	22.4814288993	70.9777419224	80.2074805715	70.1608017985	0.3628896454	3.2571428571	1.0571428571	1.3428571429	0.88	1225	595	1	1
81	147	169.0008779163	564.8271928199	816.0902312335	525.5497849068	70.1780801429	3.2285714286	1.5142857143	1.2214285714	0.91663285	19600	15400	1	1
82	148	507.9132172897	851.5646406518	1301.2987718519	811.8286371138	100.3928629559	3.862745098	1.9346405229	1.3921568627	0.8693888262	23409	17289	1	1
83	149	409.9330639919	717.7817521751	1468.7023983532	651.2785046793	194.9053292932	4.0482758621	1.7103448276	1.3793103448	0.8853817824	21025	12615	1	1
84	150	395.5686744934	608.6037843255	1015.8463166779	626.4253718403	82.9582360723	4.0914634146	1.4207317073	1.6036585366	0.8117823962	26896	16892	1	1
85	151	454.0683579313	954.1723743198	1361.5258623586	933.6950013287	137.0723048313	4.6829268293	2.2195121951	1.5609756098	0.8713360155	1681	1353	1	1
86	152	338.6437783136	456.0955071882	912.5749086512	388.751163929	111.4574989792	4.25625	2.1	1.49375	0.8527779749	25600	17920	1	1
87	153	276.5982217314	587.2946578203	879.9032526955	571.0669304014	65.2855499543	3.5794392523	1.8504672897	1.4205607477	0.8756451292	11449	8774	1	1
88	154	2226.4818635667	1429.0072781528	2959.2413045965	1562.8400213537	144.8909406325	2.5	1.6	1.3	0.8625	100	80	1	1
89	156	3224.615092336	5630.3230554296	7498.5553586409	7485.8550647294	5.4215005132	8	4	3	0.59375	25	5	1	1
90	157	213.2380949926	439.5255255906	658.9044943659	405.3353088332	62.3816123673	2.737704918	1.4918032787	1.3770491803	0.869897541	3721	2379	1	1
91	158	371.0242430044	499.1889321619	798.6876053388	480.5704240702	43.82766545	6.2962962963	2.1851851852	1.5185185185	0.8281430847	729	594	1	1
92	159	271.2671520657	489.5933160204	749.7917305665	465.7667282563	39.2618919233	4.6138613861	1.504950495	1.4554455446	0.8760638995	10201	7272	1	1
93	160	284.8397674182	468.6855727408	853.9847390223	436.0429214251	89.9932865757	6.886627907	2.1976744186	1.6191860465	0.8141413183	118336	70520	1	1
94	161	432.6801084825	748.6093135331	1386.3523313884	703.1220714053	159.8783880732	19.0044052863	3.5814977974	2.3920704846	0.7479201554	51529	31099	1	1
95	162	422.6670046018	711.1672284727	1263.5906545635	650.7395786847	129.2283421741	7.690821256	2.6763285024	1.6859903382	0.7971008858	42849	31050	1	1
96	163	323.407605982	440.3910649205	751.4927485576	399.2542844337	82.025159646	6.488372093	1.634551495	1.5780730897	0.8067577276	90601	54180	1	1
