Index	HEX_600	04_HEX_weighted_average_distance	04_HEX_weighted_mean_home_distance	04_HEX_weighted_max_home_distance	04_HEX_weighted_median_home_distance	04_HEX_weighted_radius_of_gyration	04_HEX_weighted_num_reporting_2015	04_HEX_weighted_HEX_coverage	04_HEX_weighted_subject_coverage	04_HEX_weighted_subject_hhi	04_HEX_total_reporting	04_HEX_total_user	user_type	reporting_level
109	194	4387.4001758733	3105.6041608695	9241.3628747318	1446.4515107548	1262.4812351868	20.5	10.5	2	0.7804709141	4	4	1	2
110	195	2602.5086940845	3116.3826042567	9729.9840199614	2387.4355275578	1095.2534273376	38	18	3	0.5609418283	4	2	1	2
111	203	411.1255588903	385.6697996602	1362.673836798	295.1359225633	263.9199238452	9.7058823529	3.1176470588	2.8235294118	0.5363369355	289	153	1	2
112	204	1276.869642562	2238.9154419509	4101.5043709638	1916.0465546407	483.4649874303	14.1379310345	4.5517241379	2.9885057471	0.572650413	7569	2088	1	2
113	205	591.9703074611	310.5668198095	870.1018967515	35.338222648	13.0352523675	4	2	1	1	9	6	1	2
114	206	2083.7681051321	2034.1357432904	4448.1397871048	2470.8195739568	723.0787096887	10	7	3	0.54	1	1	1	2
115	207	2173.1153079581	1645.3867926902	5342.0036600654	1061.7654699829	709.289332547	17.24	6.36	2.72	0.5151130862	625	350	1	2
116	208	1171.7989111509	823.3038060104	2531.0742371804	521.4855200005	378.9268239839	17.1764705882	5.2352941176	2.5294117647	0.5079802754	289	153	1	2
117	209	840.878173892	661.7683145146	1567.9471956111	466.8702800227	292.1854664142	11.375	4.3125	2.375	0.6157002905	256	128	1	2
118	210	1464.0000011853	1359.6376526913	2723.3453269705	1303.6347946767	425.830182577	9.1923076923	3.8076923077	2.2692307692	0.578355573	676	338	1	2
119	211	508.229468559	422.2397704567	936.8416525398	339.1226919958	164.1902680975	7.1782178218	2.6831683168	2.396039604	0.5644550685	10201	3737	1	2
120	212	509.0749053762	498.813969028	1262.1810811887	429.4500176812	198.4643899913	31.7384615385	4.2205128205	2.4102564103	0.5723795758	38025	10920	1	2
121	213	436.8443426677	788.7762835865	1339.8122401709	752.05878796	182.3709381756	27.8333333333	3.8666666667	1.8666666667	0.7290940113	900	390	1	2
122	215	798.5981531382	1497.7838254364	1968.3313617677	1605.2114107926	240.121010174	5.0434782609	1.9565217391	1.8260869565	0.7258454106	529	253	1	2
123	216	564.5900521721	490.1677593294	1094.5916888731	419.2957416081	213.2588222025	6.0485436893	1.7475728155	2.1553398058	0.6135165813	10609	3605	1	2
124	217	352.6319854106	282.1654285092	875.8703117081	175.4935095435	148.619199956	8.0989010989	1.8901098901	1.9450549451	0.6979553571	8281	2639	1	2
125	218	972.8369863859	805.5096810923	2594.2446991437	483.8652468223	386.5945068695	14.6964285714	5.6607142857	2.5178571429	0.5130478752	3136	1120	1	2
126	219	503.8317341738	380.3466274625	1026.6790676877	237.2740843745	92.794103336	5.4489795918	1.9795918367	1.7755102041	0.6466403208	2401	980	1	2
127	220	509.1637621879	479.6843682013	894.5566687596	480.7680755192	174.0895539508	3.9523809524	1.380952381	1.7619047619	0.5644444444	441	189	1	2
128	225	10.2245198242	152.2189751781	153.7194262345	153.7194262345	2.5357087858018145e-08	3.5714285714	1	1.5714285714	0.7857142857	49	14	1	2
129	228	942.7009967506	745.8622989221	3395.886102173	466.4209680607	578.4715440392	17.875	4.4166666667	2.0416666667	0.6379152112	5184	1656	1	2
130	229	840.6799807156	651.6643166015	2835.7000863658	415.5080753218	480.606542842	15.619047619	4.8412698413	2	0.722498928	3969	1386	1	2
131	230	326.2282503067	337.7719137856	836.2804055209	284.3892206258	146.5468431961	6.6785714286	1.8214285714	1.6666666667	0.7187227557	7056	2268	1	2
132	231	892.8474271355	1004.9985424128	1767.2017878453	1076.3374807225	194.9390889901	5	2.6818181818	1.7727272727	0.7711560045	484	242	1	2
133	232	562.4710043658	425.1986149319	1212.8021590403	307.2781821454	127.5729562385	10.962962963	3.1666666667	1.7962962963	0.7941109041	2916	1026	1	2
134	233	1802.0411311019	1373.6741484277	3169.6460616072	1006.5615195383	470.7299561944	14.4137931034	3.1724137931	2.3793103448	0.5369094953	841	493	1	2
135	234	1817.7382170349	2101.9118597984	4131.4865312913	2108.7957631217	612.3931512875	24.6363636364	12.4090909091	2.6818181818	0.5650370303	484	308	1	2
136	235	1425.2348025495	2329.5993821214	3294.2849712227	2484.3422157225	734.9766773061	31.2	4.6	2	0.6859567901	25	10	1	2
137	237	64.7616084124	55.3248594135	131.2599319172	40.7165672918	10.1909791349	4.223880597	1.1343283582	1.776119403	0.6500775248	4489	1608	1	2
138	238	288.6248303925	199.9931446634	545.2452643695	124.0264868153	80.3734078839	9.4956521739	1.3913043478	1.7565217391	0.7104887417	13225	3680	1	2
139	239	178.0244147334	137.6021764794	490.2689543203	97.0919935064	91.783416913	42.9943181818	2.9829545455	3.0681818182	0.6900007163	30976	5632	1	2
140	240	190.3947831314	150.2344632271	392.834545894	84.1161323189	32.6356042818	6.3023255814	1.488372093	1.7558139535	0.6247776198	7396	2752	1	2
141	241	236.2948189374	180.6681666055	604.8180008539	122.201530072	111.4685998543	5.0875	1.225	1.875	0.6357554563	6400	1920	1	2
142	248	1418.5871038679	1085.9279722734	3593.226415551	607.4372231527	249.0343276078	9.3333333333	3	2.0666666667	0.4581319444	225	90	1	2
143	249	287.450606505	429.9235093711	722.2385804238	372.9623222631	63.4397817367	5.2	2.08	1.4666666667	0.7596815636	5625	1875	1	2
144	250	1131.5642185528	987.057647436	2360.7867598106	913.4760664107	304.2508767046	11.3333333333	6.4333333333	1.8666666667	0.6877006421	900	480	1	2
145	251	374.9302495439	304.2820370538	814.4418659725	203.9425099789	129.9047091112	6.2444444444	1.6	1.8148148148	0.7128326128	18225	5535	1	2
146	252	632.7907751253	681.491875921	1739.0083533415	597.680751469	264.509953976	6.7625	2.05	2.5625	0.5080785351	6400	2000	1	2
147	253	636.2562429348	630.0035052706	1191.78750189	737.7569077205	134.0358402433	4.8305084746	1.8305084746	1.5254237288	0.7836436499	3481	1357	1	2
148	254	473.4025455579	380.1440927412	833.5686211941	283.2518938977	86.4928120781	5.0694444444	1.5138888889	1.9861111111	0.6543177989	5184	2016	1	2
149	255	397.6877011698	478.2620682294	831.8320252147	634.3613658994	78.1596933876	6.8205128205	1.4743589744	2.2948717949	0.5795120563	6084	1560	1	2
150	256	228.1619021507	158.5230333732	370.4969043344	57.5780838132	95.8715685248	8	2	3	0.34375	9	3	1	2
151	257	386.1144043024	394.5974686062	666.7453301468	385.717754505	90.9944720086	4.0217391304	1.3043478261	1.6956521739	0.6941425121	2116	736	1	2
152	258	264.118461089	536.4443771279	773.0225114904	492.7081616067	69.0898408036	8.1714285714	1.1428571429	1.8	0.615345805	1225	315	1	2
153	260	3923.3215655731	3458.9296882962	5051.9537136326	4251.4078928408	752.6343034367	3	3	1	1	1	1	1	2
154	271	341.9865306126	415.0152537457	676.1073966244	393.0131765086	25.5550928001	3.7692307692	1.3076923077	1.2564102564	0.8305982906	1521	585	1	2
155	272	722.5557854839	580.9493441268	1767.0089655914	367.7472652233	230.2601018101	9.0384615385	2.7	2.0692307692	0.7073299241	16900	5330	1	2
156	273	617.6239616777	492.6657989271	1837.5510154834	511.1019977001	215.9193405859	10.9333333333	1.6888888889	2.5888888889	0.5771426695	8100	2340	1	2
157	274	1132.0503881186	1428.6345165841	2846.7153714874	1052.7015765732	315.6278641589	7.7	3.75	2.6	0.4882988372	400	240	1	2
158	275	408.124587712	351.4524090736	808.2600597299	241.9398405015	120.2044854098	4.027027027	1.5405405405	1.5	0.784127448	5476	2220	1	2
159	276	811.2333119481	589.3552488311	1934.5727446087	358.0491132326	249.2673069304	5.6631578947	1.8842105263	2.1789473684	0.6894369061	9025	3325	1	2
160	277	395.3300985481	272.8577724947	864.1431845465	144.056590964	141.1951850207	6.1209677419	1.7419354839	2.0161290323	0.6294269005	15376	5084	1	2
161	278	439.6257218697	414.1267559055	794.2956854013	366.1364745737	106.1578496972	5.4285714286	1.9350649351	1.2727272727	0.898715968	5929	2156	1	2
162	279	247.1410188814	490.8373534266	763.3555569061	430.5992897546	60.3994880374	6.21875	1.390625	2.078125	0.594779445	4096	1216	1	2
163	280	495.1505437197	589.1509935773	1063.5630705925	472.8331277873	99.8133272817	5.5616438356	1.6164383562	1.7260273973	0.7186534563	5329	1971	1	2
164	281	387.3185910096	1100.5394184482	1465.8632353062	1082.3398501358	65.2346206755	5.3673469388	1.8979591837	1.6734693878	0.738546439	2401	882	1	2
165	282	2992.1699915739	1498.5251561317	4472.1197869758	13.0015329476	703.83621048	3	2	2	0.5555555556	1	1	1	2
166	283	0	6.7904303553	6.7904303553	6.7904303553	0	4	1	2	0.125	4	2	1	2
167	294	320.5241032031	259.8778560684	425.67884082	340.5748734555	11.1908135377	4	1.6	2	0.4503472222	25	15	1	2
168	295	55.7714173503	71.387194323	73.3837969692	73.3837969692	8.257156823887614e-05	4	1	2	0.625	16	4	1	2
169	296	349.785228299	310.5752820809	617.3795754464	282.3905458915	71.0645375058	6.6470588235	1.3529411765	2.0882352941	0.6540812143	10404	3060	1	2
170	297	587.2246090279	645.060739275	1353.1778651364	563.1674071303	145.9458852304	9.8607594937	2.8101265823	2.0253164557	0.6652940579	6241	2212	1	2
171	298	411.3484513166	347.410277693	938.1817471089	293.0589573791	77.4865365756	6.2678571429	1.6428571429	1.9107142857	0.6659650606	12544	4816	1	2
172	299	666.0634062062	425.8715544756	1091.3886088631	194.0162690542	157.771320511	6.3333333333	2.2	2.0888888889	0.7091622732	2025	855	1	2
173	300	439.5467635391	412.7063091261	1006.4614676393	347.9013622191	167.9266230422	5.976744186	2.1860465116	1.988372093	0.6150497021	7396	2752	1	2
174	301	338.5108304785	795.3368317239	1326.713359241	765.6678238361	137.2496074579	5.5108695652	1.8586956522	1.5652173913	0.7723862516	8464	3220	1	2
175	302	496.290819699	405.9857441571	1101.8013497935	304.3237202535	189.7810887696	5.4871794872	2.4358974359	1.4871794872	0.8489657892	6084	2340	1	2
176	303	633.1943620573	816.0146045832	1895.4798457823	635.1390234224	261.2597834186	8.3406593407	1.7802197802	1.8241758242	0.6474238164	8281	2821	1	2
177	304	223.6479658878	297.0218632076	523.9660677348	252.357595057	54.1520104819	10.0458715596	1.6146788991	1.9357798165	0.698414112	11881	3052	1	2
178	305	517.7237637989	365.3065960997	934.2507957799	210.8818758431	148.3828377563	4.5604395604	1.3626373626	1.6483516484	0.7145282941	8281	3003	1	2
179	306	978.5009731418	967.0013464802	1475.7111009323	1412.8437127246	233.995622682	3.6666666667	1.6666666667	1.1666666667	0.8854166667	144	60	1	2
180	307	1955.8825741164	1444.2230354302	3730.8401660904	428.5633718372	769.5884509817	6	4	5	0.2222222222	4	2	1	2
