Index	HEX_600	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	user_type	reporting_level
70	121	792.6773613261	1652.5300845108	2560.1576180738	1569.3190872174	373.3343372153	42.6	12.6971428571	1.9885714286	0.777220689	30625	17850	3	1
71	122	686.9801023557	773.5744620304	1429.2688416294	747.9374519905	157.2562448223	42.3461538462	12.8076923077	1.6538461538	0.8528785239	676	598	3	1
72	123	3175.0516476417	2927.321952949	5969.2849604152	2651.3279618846	1039.5474104825	216	66.6	3.2	0.6810667776	25	25	3	1
73	124	4864.6807074176	4141.4164937388	9391.4620886	4209.4737192906	1525.3930137076	304.4285714286	93	4.7142857143	0.4054106905	49	42	3	1
74	125	6278.9326685581	4840.9706327143	12608.021191198	4122.9180718391	2351.9330784237	143	107	6	0.4005574845	4	2	3	1
75	127	5795.2815466986	5219.6055597892	11781.5098828769	5110.8956872175	1744.9474428831	34	27	3	0.455017301	4	2	3	1
76	128	376.4721032782	285.1037890352	767.4945054026	239.0091350928	122.1521785968	26.8691588785	7.1682242991	2.0186915888	0.759436392	11449	7276	3	1
77	129	296.4741968833	376.1644614187	742.7167753978	354.991757591	102.0279083047	28.0734265734	7.7447552448	1.7517482517	0.7959747361	81796	50336	3	1
78	130	962.5905555478	1103.5409157059	2300.6831061608	1063.1129477223	304.2744922529	83.4147465438	25.1244239631	2.0414746544	0.8010292668	47089	29295	3	1
79	131	749.6856900671	1025.2052442712	1781.5519625315	999.9840778119	210.4376039048	54.9509803922	16.431372549	1.8431372549	0.7662000884	10404	7446	3	1
80	132	1296.5433520873	1618.5299636633	3159.6071184504	1502.331606686	390.3760378877	58.7826086957	17.8858695652	2.152173913	0.7284141137	33856	25208	3	1
81	133	2401.7756316945	2284.7409000793	5316.4977822273	2067.7313232716	878.6635445451	249.3658536585	73.8170731707	3.4024390244	0.6621837052	6724	4510	3	1
82	134	2235.2466481146	1940.9438068061	4617.7621278069	1781.2372480132	660.0997771445	125.8518518519	49.4444444444	3.2222222222	0.5528037395	729	486	3	1
83	135	191.0727228483	243.7640375113	629.483866307	241.145661678	115.7349282015	4.3333333333	1.8333333333	1.8333333333	0.6859259259	36	24	3	1
84	146	22.4814288993	70.9777419224	80.2074805715	70.1608017985	0.3628896454	3.2571428571	1.0571428571	1.3428571429	0.88	1225	595	3	1
85	147	317.1415958469	679.8442805144	1099.9528717324	629.1008932487	134.0317098783	11.6527777778	4.4722222222	1.2847222222	0.9095382495	20736	16272	3	1
86	148	644.3683862882	939.7027126578	1550.9401082673	886.4944896009	155.1376667231	17.5222929936	6.178343949	1.5222929936	0.8559572791	24649	18212	3	1
87	149	622.8523793485	863.235310181	1888.6546046675	782.4231366953	275.8733081398	33.0463576159	10.582781457	1.6225165563	0.8626690878	22801	13590	3	1
88	150	616.0475228673	759.3308475638	1456.3534202644	759.5801218215	172.2593642297	30.8139534884	9.9941860465	1.8372093023	0.7907153825	29584	18576	3	1
89	151	803.8470375639	1170.8772185817	2058.104311436	1127.0170502009	279.6123061287	72.3409090909	20.6818181818	2	0.8313373946	1936	1496	3	1
90	152	534.987960863	598.4896374697	1300.2522527018	506.5217836285	182.316843502	19.4939759036	7.5301204819	1.6686746988	0.8342871172	27556	19256	3	1
91	153	558.8036597252	787.5292179421	1417.3925381901	739.1864342069	174.0598064563	23.7543859649	8.6140350877	1.6140350877	0.8521077768	12996	10032	3	1
92	154	2226.4818635667	1429.0072781528	2959.2413045965	1562.8400213537	144.8909406325	2.5	1.6	1.3	0.8625	100	80	3	1
93	155	4553.9718815035	3357.7863129422	8660.3847268449	3044.2307167972	1719.3830262994	505	142	5.5	0.5062501131	4	4	3	1
94	156	3617.8718534815	5380.6875612182	8178.4644292275	6866.3933958501	375.7944155156	172.8333333333	48.8333333333	3.8333333333	0.5422399292	36	12	3	1
95	157	394.7716209891	568.0085362524	1021.8921449156	517.7374120972	133.0931813231	20.746031746	7.4761904762	1.5555555556	0.8531586835	3969	2583	3	1
96	158	1418.6207713692	1226.0875447004	2945.1323557244	1135.4786354855	493.4614861385	164.6764705882	49.6470588235	2.6764705882	0.7355714463	1156	816	3	1
97	159	420.323368863	591.2221879683	1050.2396853018	557.4358952544	102.3922439401	25.7884615385	7.9807692308	1.6153846154	0.8621624231	10816	7696	3	1
98	160	645.8010400317	733.3957255769	1596.5874686572	668.7660489376	236.0509507929	53.8436657682	16.4905660377	1.9757412399	0.7871221133	137641	78652	3	1
99	161	689.8800608245	940.9132347407	1892.4745510789	878.9297483659	260.084044186	45.8174273859	12.0539419087	2.5892116183	0.7288504885	58081	34704	3	1
100	162	1039.8585552015	1145.8449213945	2450.316439606	1051.0359180307	368.1756354103	86.4522821577	26.0663900415	2.265560166	0.7492074926	58081	39524	3	1
101	163	654.5966995457	682.5948314802	1435.1674438136	619.8033789384	219.9660113166	51.5167173252	14.9696048632	1.9179331307	0.7707258738	108241	62181	3	1
102	164	1413.0606828599	1364.2734236139	3077.3392466237	1206.7995521588	459.0360203558	89.0402684564	27.5436241611	2.4765100671	0.721761107	22201	13112	3	1
103	165	1160.1194493706	1603.1371003503	2938.9939738134	1518.628012357	396.0349252279	78.5967741935	25.2580645161	2.3387096774	0.7234447744	3844	2666	3	1
104	166	984.596624577	1840.8142330806	3084.2998964546	1755.1940645378	345.5207172777	68.6226415094	23.2452830189	1.9433962264	0.805451477	2809	2120	3	1
105	167	1446.5474666057	3481.1920241354	5159.06822031	3345.7747793742	529.1112613647	168.1666666667	47.1666666667	2.8333333333	0.6499482625	36	36	3	1
106	168	4646.7733793664	3739.1292290606	9745.3144369192	3447.3046504398	1664.6555784101	283.3333333333	115.5	6	0.3305671581	36	30	3	1
107	176	0	190.7908032937	190.7908032937	190.7908032937	0	2	1	1	1	4	2	3	1
