	HEX_600	HEX_weighted_average_distance	HEX_weighted_mean_home_distance	HEX_weighted_max_home_distance	HEX_weighted_median_home_distance	HEX_weighted_radius_of_gyration	HEX_weighted_num_reporting_2015	HEX_weighted_HEX_coverage	HEX_weighted_subject_coverage	HEX_weighted_subject_hhi	HEX_total_reporting	HEX_total_user	HEX_normalized_total_311_per_100	HEX_num_311_including_government_users	HEX_total_population	HEX_income_below_poverty	HEX_below_poverty_unemployed	HEX_above_poverty_unemployed	HEX_total_housing_units	HEX_Owner_occupied_housing_units	HEX_Renter_occupied_housing_units	HEX_less_than_bacholar	HEX_estimate_total_for_degree	HEX_White_population	HEX_Black_or_African_American_population	HEX_American_Indian_and_Alaska_Native_population	HEX_Asian_population	HEX_Native_Hawaiian_and_Other_Pacific_Islander_population	HEX_Some_other_race_population	HEX_Mean_travel_time_to_work_minutes	HEX_Foreign_born_population	HEX_Citizen_population	HEX_obrien.IndividualNeeds	HEX_obrien.PublicNeeds	HEX_minkoff.CausedByHumanBehavior	HEX_minkoff.CausedByUsage	HEX_wheeler.Detritus	HEX_wheeler.Infrastructure	HEX_600_coverage_in_HEX	HEX_income_below_poverty_percentage	HEX_renter_occupied_housing_units_percentage	HEX_below_poverty_unemployed_percentage	HEX_above_poverty_unemployed_percentage	HEX_less_than_bacholar_percentage	poverty_index	HEX_Foreign_born_population_percentage	HEX_Citizen_population_percentage	HEX_White_population_percentage	HEX_Black_or_African_American_population_percentage	HEX_American_Indian_and_Alaska_Native_population_percentage	HEX_Some_other_race_population_percentage	user_type	frequency
	475	470.6983646001	887.8280390661	1603.0935555373	835.3180605672	162.5168880262	9.2857142857	6	1.7857142857	0.2542654331	196	84	32.05538612	226	705.0297231	36.16799191	3.117685	30.70861142	297.6154446	156.3964227	141.2190219	291.1963411	516.951239	520.2451379	140.3722726	0.872399371	59.57379156	3.615893367	0.785159434	29.8362937805	135.0435217	647.7357301	71	135	0	75	42	37	5.439252336	-1.0976275227	-0.5845095708	-1.0657619251	0.9449920509	0.1841891456	-1.5453289132	0.1915430191	0.918735351	0.7379052554	0.1991012123	0.0012373937	0.0011136544	non_gov	heavy
	476	714.885191267	533.5956278816	895.5620969563	551.3415002386	139.132977373	3.2222222222	1.5555555556	1.6666666667	0.3002469136	81	36	18.83408533	113	599.9760435	25.81132636	3.844240096	16.61260899	263.7423294	149.2388923	114.5034371	270.3324553	440.0281967	560.1606997	31.30309792	1.372942891	12.49378031	0	1.235648602	26.3	69.88279317	574.3020115	24	73	1	31	20	31	4.625	-1.202784566	-0.786115362	-0.8967262133	-0.1534655319	0.4425475305	-1.6043385743	0.1164759725	0.9572082381	0.933638444	0.052173913	0.0022883295	0.0020594966	non_gov	heavy
	480	540.9569161444	322.8065212803	859.1787174107	57.0887256167	2.7747525622	3	1.1052631579	1.6315789474	0.3040935673	361	133	58.83258974	396	673.0963259	34.97138613	9.051417585	9.737131039	290.3310762	215.4511671	74.87990912	299.7939218	509.896524	603.2906963	13.16569831	0	56.63993125	0	0	30.1	152.3655294	625.0963842	103	271	5	191	71	100	7.072992701	-1.0892951261	-1.6666086016	-0.2972936424	-1.068814598	0.4069243933	-1.7336978018	0.2263651182	0.9286878566	0.8962917685	0.0195599022	0	0	non_gov	heavy
	481	428.7822656299	359.8161049383	804.1066888066	241.3865599824	81.1431370487	4.55	1.45	1.225	0.1756558642	1600	560	80.86977168	538	665.2671188	32.76300205	7.561250427	10.66472074	282.8380392	203.8983857	78.9396535	291.8539992	503.2586604	578.7155072	19.23822023	0.308615647	58.91904571	0	12.19031807	31.4622623756	155.9205809	617.9171109	126	361	2	243	83	100	3.799043062	-1.1236910024	-1.5607601405	-0.4745404235	-0.9605064846	0.3608658587	-1.7925936013	0.2343728955	0.9288255701	0.8698994597	0.0289180386	0.0004638973	0.018323945	non_gov	heavy
	483	1028.3813301903	889.8554368497	1618.9711513896	972.4474374874	0.0665257354	3.9523809524	1.3333333333	1.5714285714	0.3055555556	441	147	34.68845118	281	810.067877	11.28167222	0	28.9222895	309.2716976	219.2628906	90.00880701	268.8052	599.6131176	678.8024583	35.515755	0.885398	53.0836788	10.00631653	58.06472067	35.1519161454	146.3812954	771.1177028	70	190	0	135	42	82	1.970873786	-1.5723077657	-1.5011253869	-1.4422798812	0.4013640544	-0.3745482117	-2.6343455317	0.180702506	0.9519173944	0.8379575065	0.0438429371	0.0010929924	0.0716788337	non_gov	heavy
	484	2047.3069730045	2104.5962217364	3701.6706483488	3231.8868021492	707.652901532	5.3529411765	1.6470588235	1.4705882353	0.145620915	289	102	113.3778535	372	328.1064057	0.69973562	0	13.78479172	123.643533	96.28387026	27.35966276	95.65398375	241.0592946	296.1284879	7.5571447	0	12.59524117	6.367594145	14.69444803	32.9366227899	40.86456023	316.560768	37	300	1	244	34	187	16.05319149	-1.7221068807	-1.8496329838	-1.4422798812	0.8381552702	-0.6518439171	-2.9624699118	0.12454667	0.9648113005	0.9025379656	0.0230326034	0	0.0447856176	non_gov	heavy
	486	299.1087386866	433.1171148035	1209.5520231548	354.435992654	224.6389116341	4.92	1.52	1.56	0.1951673469	625	200	37.80494122	392	1036.901493	96.06244597	15.58141898	35.71817424	383.783803	192.7492313	191.0345717	439.4383414	665.1327519	501.3534599	406.0000666	3.501974833	26.99334559	0	144.1362469	32.851438869	294.1337434	960.6595191	93	268	4	185	57	85	3.672839506	-0.5725153651	-0.4682784437	-0.1628090438	0.3143807686	0.2583176213	-0.6729512001	0.2836660429	0.9264713433	0.4835111756	0.3915512412	0.0033773457	0.1390066924	non_gov	heavy
	487	783.624311517	619.6876799118	1403.5067674234	678.5373442643	138.9807330117	4.8125	2.0625	1.46875	0.2501418611	1024	384	25.18330438	342	1358.042594	94.65148742	22.82185806	51.95468669	471.8782005	302.5057625	169.372438	573.3450277	871.3747896	639.7320167	543.9539948	5.75514515	37.67063315	0.506577845	181.7564665	32.4370349278	353.1706192	1280.101378	95	202	0	116	57	58	2.993670886	-0.8639646737	-1.1619024136	-0.01141543	0.5781327351	0.2472067915	-1.1737255452	0.2600585731	0.9426076794	0.4710691841	0.4005426613	0.0042378237	0.1338370882	non_gov	heavy
	488	2478.6089782268	2219.6429115653	4023.5848030733	1644.6159204546	700.2142448949	8.9583333333	3	1.9583333333	0.3926914222	576	240	32.86602616	449	1366.152384	116.0743779	32.81893164	65.28333154	471.6497443	305.8690791	165.7806653	700.4471786	906.9466189	249.5282653	1020.075457	12.93836839	15.92981136	3.688679176	111.5386237	36.1861823347	420.9561918	1233.898279	125	254	19	177	73	84	9.457142857	-0.6700511155	-1.1990806612	0.6031574621	1.2378041216	0.8701728997	-0.674439195	0.3081326774	0.9031922745	0.1826503897	0.7466776539	0.0094706627	0.0816443502	non_gov	heavy
	489	667.66242195	719.4277680842	1097.2318032865	622.9274219221	176.3354073856	8.4705882353	2.1764705882	1.5882352941	0.2557768831	289	102	11.11661652	150	1349.331424	112.9069937	32.08471239	65.46714556	464.3695388	303.0747862	161.2947526	702.5904463	897.5188866	215.3214143	1042.881547	13.23735464	13.87250619	3.868708731	105.310765	36.3971851508	418.8610809	1216.477599	51	82	2	49	19	23	1.910714286	-0.6864126098	-1.2198128101	0.5823255689	1.2884732014	0.9250854357	-0.7004421378	0.3104212008	0.9015409983	0.1595763728	0.7728876156	0.0098103064	0.078046626	non_gov	heavy
